Predicted_Results,Test_Results
0.45696137713515994,1.0
0.3633512910074299,0.0
0.5841303046321602,1.0
0.8296720749483582,1.0
0.2878471586006085,0.0
0.5083234666930074,1.0
0.3082624992863181,1.0
0.5932145197135402,0.0
0.7068968393385759,1.0
0.45329752162511894,0.0
0.6698926872653761,1.0
0.7088686273520434,1.0
0.6135142079895092,0.0
0.471868976342933,0.0
0.7210118075855299,1.0
0.4524980862651343,0.0
0.9352879969191762,1.0
0.32177541049571035,0.0
0.5382835474757509,1.0
0.3499646076666346,1.0
0.4563151447044458,0.0
0.8285309209896559,1.0
0.40576695485378106,0.0
0.34008597011137937,0.0
0.27721958265510005,0.0
0.2074898468089984,0.0
1.0616227660364292,1.0
0.3285023960297129,0.0
0.6196458275794139,1.0
0.5659530494711031,0.0
0.33953885648235466,0.0
0.9279460248925966,1.0
0.49045008647999955,0.0
0.45113700230764886,1.0
0.6355517820795865,1.0
0.42142849599379933,1.0
0.8658040001138279,1.0
0.9155134358836652,1.0
0.6522187674178166,1.0
1.326415155869886,1.0
0.9806910723628598,1.0
0.3629858901030357,1.0
1.1068339821429491,1.0
0.3437562379626647,1.0
0.9613582810511733,1.0
0.6172281802804275,1.0
0.6222984057032551,1.0
0.9083114853029759,1.0
0.5275153045839539,1.0
0.7583245712656184,0.0
0.45055023905976066,1.0
0.4795354263288226,0.0
0.4347678715579253,0.0
0.3667077354515921,0.0
0.26214648290414555,0.0
0.32390857116663824,0.0
0.19942534971449982,0.0
0.662667197075915,1.0
0.29048022340726837,0.0
0.30391999456249796,1.0
0.42942575720201004,1.0
0.2462906864149252,0.0
0.49534164172019435,1.0
0.996349437506735,1.0
0.321043803524628,0.0
0.7711092773055884,1.0
0.39335717342245763,0.0
0.3764964817012334,0.0
0.46462900332075563,0.0
0.3939450002839758,0.0
0.4548845718403767,1.0
0.41410927776123985,1.0
1.9880369922517822,0.0
0.35155325472982096,0.0
0.5542782524050397,1.0
0.39489670435822843,0.0
0.3198211107334808,0.0
0.5979883891886331,1.0
0.6869352998932535,1.0
0.4040649750833658,0.0
0.7161597162980734,1.0
0.346599888012171,1.0
0.5163575633948113,1.0
0.3670248606378532,0.0
1.0577336057195414,1.0
0.4391911191795579,0.0
0.5642950208750295,1.0
0.95034362444564,1.0
1.0050507490535636,1.0
0.47396422944968275,0.0
0.42444183246375333,0.0
1.1237008713055854,1.0
0.5585609798076678,1.0
0.8974233366712492,1.0
0.5353678933561764,0.0
0.6122874107818799,1.0
0.7653547037720244,1.0
0.28595142377463273,0.0
0.740883480918525,1.0
0.4975401254876072,0.0
0.4928372319345593,1.0
0.5389252674815342,0.0
0.4769931200371338,1.0
0.06474392659066736,0.0
0.48930408170477324,0.0
0.6156381153276691,1.0
0.3442834405283385,0.0
0.42093985241466614,1.0
0.42943160550364035,0.0
0.7973714706041776,1.0
0.3813036932264723,0.0
0.1752568792656306,0.0
0.9071800204137674,1.0
0.7407427732180301,1.0
1.2057429038189045,1.0
0.6717614336051005,1.0
0.4974070436190757,0.0
0.9417138957023901,1.0
0.5166286503188628,1.0
0.2059124964876431,0.0
0.44964680824487024,0.0
1.089657491701867,1.0
0.6309459837677143,0.0
0.5265371468293569,0.0
0.32125888602768193,0.0
0.442762064387446,0.0
0.8533395356168886,1.0
0.41227974522743305,1.0
0.5809246723176098,0.0
1.3176027168406796,1.0
0.3731261379028284,0.0
0.5686188578271107,1.0
0.5282004601633155,0.0
0.6777268263340472,1.0
0.3025573406995571,0.0
0.46820021210104235,1.0
0.6886077096516933,1.0
0.32692354548593655,0.0
0.49317345153896586,0.0
0.8227983030242458,1.0
0.8994641468817215,1.0
0.25300085432519587,0.0
0.6510928483801208,1.0
0.5097076747472022,1.0
0.34782569966993987,0.0
0.9756042931224147,1.0
0.5186538185532212,1.0
0.6054506780406291,1.0
0.3987774406172865,0.0
0.29561096835341355,0.0
0.5226334140057707,1.0
0.5931663220692176,1.0
0.7594924533827486,1.0
1.176070764321265,1.0
0.4017192816002316,0.0
0.4480588387607153,0.0
0.645818916907668,1.0
0.8764583897189687,1.0
0.5842839786975849,0.0
0.42053075964929043,0.0
0.5035563110559352,0.0
0.30404104934104237,0.0
0.5599504568678382,1.0
0.7875355356530932,1.0
0.511130809347059,1.0
0.8895462823135892,1.0
0.6148720152338425,1.0
0.4556241720400633,1.0
0.5856184654157972,0.0
0.46945622931884134,0.0
0.7822319428217159,0.0
0.5058604358749687,1.0
0.752491875080189,1.0
0.9392759154436507,1.0
0.8005674357468644,1.0
1.4744354549076086,1.0
0.4925271881353992,0.0
0.780742621814039,1.0
0.2547135927769191,1.0
0.3910682063377827,1.0
0.688849089712609,0.0
0.40270353352914356,0.0
0.33138950613649965,0.0
0.5117801053302388,0.0
0.49072636173504663,1.0
0.5754965058422951,1.0
0.4119643065630828,0.0
0.6215266665956016,0.0
0.3045631885578135,1.0
0.6175479928707203,1.0
0.6963861147470711,1.0
0.34190457368109467,0.0
